Fanteakwa - Abuakwa South District Site,Fanteakwa - Abuakwa South District Site
Fanteakwa - Atiwa East District Site,Fanteakwa - Atiwa East District Site
Fanteakwa North District Site,Fanteakwa North District Site
Fanteakwa South District Site,Fanteakwa South District Site
Farmlife - KURESOI,Farmlife - KURESOI
Farmlife - MAUCHE NJORO,Farmlife - MAUCHE NJORO
FESD - Cyinengwe Site,FESD - Cyinengwe Site
FESD - Gatare Site,FESD - Gatare Site
FESD - Kabugabo Site,FESD - Kabugabo Site
FHA-Kigeyo site,FHA-Kigeyo site
FHA-upper Gishwati Site.,FHA-upper Gishwati Site.
Goshen Farm Exporters - Kaiti,Goshen Farm Exporters - Kaiti
Goshen Farm Exporters - Kilome,Goshen Farm Exporters - Kilome
Goshen Farm Exporters - Mbooni,Goshen Farm Exporters - Mbooni
GGV Subri River Reforestation Site.,GGV Subri River Reforestation Site.
GGV Wassa East Cocoa Agroforestry Site.,GGV Wassa East Cocoa Agroforestry Site.
GAD-Burhale Agroforestry,GAD-Burhale Agroforestry
GAD-Burhale RNA,GAD-Burhale RNA
"GBM -Sururu Forest, Upper Mau Beat Site","GBM -Sururu Forest, Upper Mau Beat Site"
"GBM-Gatimu Location, Agroforestry Site","GBM-Gatimu Location, Agroforestry Site"
"GBM-Likia Location, Agroforestry Site","GBM-Likia Location, Agroforestry Site"
"GBM-Mau Narok Location, Agroforestry Site","GBM-Mau Narok Location, Agroforestry Site"
Greening Burundi-Gihungwe,Greening Burundi-Gihungwe
Greening Burundi-Kagwema,Greening Burundi-Kagwema
Greening Burundi-Rubanga,Greening Burundi-Rubanga
Greening Burundi-Rucamihigo,Greening Burundi-Rucamihigo
Greening Burundi-Rugunga,Greening Burundi-Rugunga
Greening Burundi-Rusakaronge,Greening Burundi-Rusakaronge
GROOTS Kenya -Igwamiti Restoration site,GROOTS Kenya -Igwamiti Restoration site
GROOTS Kenya -Marmanet Restoration site,GROOTS Kenya -Marmanet Restoration site
Grow Tech - Mau Sustainability Zone,Grow Tech - Mau Sustainability Zone
Hen Mpoano - Ankobra,Hen Mpoano - Ankobra
Herp-Ghana - Akrobi_Site,Herp-Ghana - Akrobi_Site
Herp-Ghana - Badu Site,Herp-Ghana - Badu Site
Herp-Ghana - Nsawkaw_Site,Herp-Ghana - Nsawkaw_Site
IADL-KABARE CENTRE-KINJUBA,IADL-KABARE CENTRE-KINJUBA
IADL-KABARE SUD-KALAGANE,IADL-KABARE SUD-KALAGANE
INES RUHENGERI - HEPFU SITE,INES RUHENGERI - HEPFU SITE
INES RUHENGERI - KABUGA SITE,INES RUHENGERI - KABUGA SITE
INES RUHENGERI - MIRAMBA SITE,INES RUHENGERI - MIRAMBA SITE
INES RUHENGERI - MURAMBA SITE,INES RUHENGERI - MURAMBA SITE
INES RUHENGERI - NYABINTARE SITE,INES RUHENGERI - NYABINTARE SITE
INES RUHENGERI - RUGABANO SITE,INES RUHENGERI - RUGABANO SITE
ILEG-Isinya site,ILEG-Isinya site
ILEG-Kitengela Site,ILEG-Kitengela Site
ILEG-Korompoi site,ILEG-Korompoi site
ILEG-Mailui site,ILEG-Mailui site
ILEG-Namanga Site,ILEG-Namanga Site
INEC GHANA - Mankrang,INEC GHANA - Mankrang
ITF -  Marsabit Agroforestry,ITF -  Marsabit Agroforestry
"ITF - Kapkanyar Forest, West Pokot","ITF - Kapkanyar Forest, West Pokot"
"ITF - Ndaragwa Forest, Nyandarua County","ITF - Ndaragwa Forest, Nyandarua County"
ITF - Nyandarua agroforestry,ITF - Nyandarua agroforestry
"ITF- Siyoi Ward, West Pokot Agroforestry","ITF- Siyoi Ward, West Pokot Agroforestry"
IGH-Lusenda site,IGH-Lusenda site
IGH-Makobola Site,IGH-Makobola Site
IGH-Mboko Site,IGH-Mboko Site
J&R-Kamembe Restoration site,J&R-Kamembe Restoration site
J&R-Nkungu restoration site,J&R-Nkungu restoration site
J&R-Nyamasheke Restoration Site,J&R-Nyamasheke Restoration Site
Jumuisha - Kibwezi East Masaku Ndogo Cluster restoration site,Jumuisha - Kibwezi East Masaku Ndogo Cluster restoration site
Jumuisha - Kibwezi Kyumani cluster restoration site,Jumuisha - Kibwezi Kyumani cluster restoration site
Jumuisha - Kibwezi Muliluni Forest Cluster,Jumuisha - Kibwezi Muliluni Forest Cluster
Jumuisha - Kibwezi Ulilinzi cluster restoration site,Jumuisha - Kibwezi Ulilinzi cluster restoration site
Jumuisha - Kibwezi Utini cluster restoration site,Jumuisha - Kibwezi Utini cluster restoration site
Justdiggit - Lower Loita,Justdiggit - Lower Loita
Justdiggit - Magadi,Justdiggit - Magadi
Justdiggit - Upper Loita,Justdiggit - Upper Loita
KENVO - GITITHIA-KIJABE AGROFORESTRY SITE,KENVO - GITITHIA-KIJABE AGROFORESTRY SITE
KENVO - Mai-mahiu Reforestation site,KENVO - Mai-mahiu Reforestation site
"Kimplanter - Site 1 : Lenkism (entonet, olchoro ochore).","Kimplanter - Site 1 : Lenkism (entonet, olchoro ochore)."
Kimplanter - Site 2 : Kimana / Imbirikani .,Kimplanter - Site 2 : Kimana / Imbirikani .
Kukuom Cooperative,Kukuom Cooperative
Kula _ Nyabitekeri  Site,Kula _ Nyabitekeri  Site
LWF-Likii WRUA-Riparian Area-Nanyuki,LWF-Likii WRUA-Riparian Area-Nanyuki
LWF-Musul Community Land-ANR-Doldol,LWF-Musul Community Land-ANR-Doldol
LWF-Nanyuki WRUA-Riparian Area-Nanyuki,LWF-Nanyuki WRUA-Riparian Area-Nanyuki
LWF-Shamanek CFA-Natural Forest-Nyahururu,LWF-Shamanek CFA-Natural Forest-Nyahururu
LOCCOG-Shamata (Kirima-Muruai Restoration Site),LOCCOG-Shamata (Kirima-Muruai Restoration Site)
Leona Foundation - Subukia Site,Leona Foundation - Subukia Site
"MIHOSO Gambia No. 2, Asunafo North District","MIHOSO Gambia No. 2, Asunafo North District"
Moto Feeds - Eburru Farmlands,Moto Feeds - Eburru Farmlands
Moto Feeds - Eburru Forest,Moto Feeds - Eburru Forest
Moto Feeds - Mau Forest,Moto Feeds - Mau Forest
NFI-Kabunambo Site,NFI-Kabunambo Site
NFI-Katogota Site,NFI-Katogota Site
NFI-Kigoma Site,NFI-Kigoma Site
NFI-Lubarika Site,NFI-Lubarika Site
"Nature Kenya, Cheptongei Forest, Elgeyo Marakwet County","Nature Kenya, Cheptongei Forest, Elgeyo Marakwet County"
"Nature Kenya, Cherangany Forest, Elgeyo Marakwet County","Nature Kenya, Cherangany Forest, Elgeyo Marakwet County"
"Nature Kenya, Chesoi (Embobut) Forest, Elgeyo Marakwet County","Nature Kenya, Chesoi (Embobut) Forest, Elgeyo Marakwet County"
"Nature Kenya, Elgeyo Forest, Elgeyo Marakwet County","Nature Kenya, Elgeyo Forest, Elgeyo Marakwet County"
"Nature Kenya, Kapyego (Embobut) Forest, Elgeyo Marakwet County","Nature Kenya, Kapyego (Embobut) Forest, Elgeyo Marakwet County"
"Nature Kenya, Kessup Forest, Elgeyo Marakwet County","Nature Kenya, Kessup Forest, Elgeyo Marakwet County"
OPDP-Musegekwa -Nessuit site,OPDP-Musegekwa -Nessuit site
ORCHARD  - KIBWEZI EAST SUB-COUNTY,ORCHARD  - KIBWEZI EAST SUB-COUNTY
ORCHARD - KIBWEZI WEST SUB-COUNTY,ORCHARD - KIBWEZI WEST SUB-COUNTY
ORCHARD - MAKUENI SUB-COUNTY,ORCHARD - MAKUENI SUB-COUNTY
ODEB/Kagwema,ODEB/Kagwema
ODEB/Rugunga/Ndava,ODEB/Rugunga/Ndava
OSEPCCA - Boneza Site,OSEPCCA - Boneza Site
PACJA Kapkoris Forest,PACJA Kapkoris Forest
PACJA Karas forest,PACJA Karas forest
PACJA Parua Forest,PACJA Parua Forest
PARAN WOMEN GOUP - Serre leone Mau Forest,PARAN WOMEN GOUP - Serre leone Mau Forest
PVC BURUNDI-NYABIRABA,PVC BURUNDI-NYABIRABA
PLATE FORME DIOBASS AU KIVU - IBAMBIRO,PLATE FORME DIOBASS AU KIVU - IBAMBIRO
PLATE FORME DIOBASS AU KIVU - ISHAMBA-RUSHEBEYI,PLATE FORME DIOBASS AU KIVU - ISHAMBA-RUSHEBEYI
PLATE FORME DIOBASS AU KIVU - KAFUNDA-MISUNYU,PLATE FORME DIOBASS AU KIVU - KAFUNDA-MISUNYU
PLATE FORME DIOBASS AU KIVU - MUSIMBI-NGOMO,PLATE FORME DIOBASS AU KIVU - MUSIMBI-NGOMO
PLATE FORME DIOBASS AU KIVU - NYAMURHAMBYE-KAMINA,PLATE FORME DIOBASS AU KIVU - NYAMURHAMBYE-KAMINA
PLATE FORME DIOBASS AU KIVU - NYARUBALE-BUGWAGA,PLATE FORME DIOBASS AU KIVU - NYARUBALE-BUGWAGA
PBC-ANR,PBC-ANR
PBC-Kanama Site,PBC-Kanama Site
PBC-Mukura Site,PBC-Mukura Site
PBC-Mushubati Site,PBC-Mushubati Site
PBC-Nyabirasi,PBC-Nyabirasi
PBC-Rugerero Site,PBC-Rugerero Site
RESEAU BURUNDI- RBU2000+ KAGWEMA-Restauration,RESEAU BURUNDI- RBU2000+ KAGWEMA-Restauration
RESEAU BURUNDI - RBU200+RUGUNGA-Restauration,RESEAU BURUNDI - RBU200+RUGUNGA-Restauration
RESCONI ASUTIFI NORTH SITE,RESCONI ASUTIFI NORTH SITE
RESCONI ATWIMA MPONUA SITE,RESCONI ATWIMA MPONUA SITE
RDI -KAGEYO,RDI -KAGEYO
RDI -RUBENGERA,RDI -RUBENGERA
RDI GISANZE,RDI GISANZE
REDO- GASHONGA- BUHOKORO,REDO- GASHONGA- BUHOKORO
REDO- GASHONGA- KABAKOBWA,REDO- GASHONGA- KABAKOBWA
REDO- GASHONGA- KABAKOBWA wetland,REDO- GASHONGA- KABAKOBWA wetland
REDO- GASHONGA- RUSAYO,REDO- GASHONGA- RUSAYO
RCCDN Murangara Site,RCCDN Murangara Site
RCCDN Nyagatovu Site,RCCDN Nyagatovu Site
RCCDN Ryaruhanga Site,RCCDN Ryaruhanga Site
RECOR - NYABITEKERI - Buffer Zone - Site,RECOR - NYABITEKERI - Buffer Zone - Site
RECOR - SHANGI - Agroforestry - Site,RECOR - SHANGI - Agroforestry - Site
RECOR - SHANGI - Buffer Zone - Site,RECOR - SHANGI - Buffer Zone - Site
RECOR- NYABITEKERI - Agroforestry - Site,RECOR- NYABITEKERI - Agroforestry - Site
ROAM -  Gihango Site,ROAM -  Gihango Site
ROAM- MUSHUBATI SITE,ROAM- MUSHUBATI SITE
RWARRI-Burehe Site,RWARRI-Burehe Site
RWARRI-Gitsimbi Site,RWARRI-Gitsimbi Site
RWARRI-Mushonyi Site,RWARRI-Mushonyi Site
RWARRI-Nkora Site,RWARRI-Nkora Site
RWARRI-Nyamwenda Site,RWARRI-Nyamwenda Site
RWARRI-Rubavu Site,RWARRI-Rubavu Site
Sakam Savana - Afram Compartment 69 Site,Sakam Savana - Afram Compartment 69 Site
SAVE KENYA WATER TOWERS MOROP SUB-LOCATION,SAVE KENYA WATER TOWERS MOROP SUB-LOCATION
Scope Torok River,Scope Torok River
Seed Savers Network Mauche and Mau Narok site,Seed Savers Network Mauche and Mau Narok site
Slow Food Kenya-Kitiro sub-location,Slow Food Kenya-Kitiro sub-location
SOLIDARIDAD  -WERU WARD,SOLIDARIDAD  -WERU WARD
SOLIDARIDAD -CHARAGITA WARD,SOLIDARIDAD -CHARAGITA WARD
SOLIDARIDAD -KIRIITA WARD,SOLIDARIDAD -KIRIITA WARD
SAFI - Nsuta Bono Cocoa landscape,SAFI - Nsuta Bono Cocoa landscape
Talmond - Ahafo Regional Tropical Almond Agroforestry site,Talmond - Ahafo Regional Tropical Almond Agroforestry site
Talmond - Eastern Regional Tropical Almond Agroforestry site,Talmond - Eastern Regional Tropical Almond Agroforestry site
"Talmond owned Tropical Almond Agroforestry farm site, Suhum Municipality","Talmond owned Tropical Almond Agroforestry farm site, Suhum Municipality"
Talmond - Volta Regional Tropical Almond Agroforestry site,Talmond - Volta Regional Tropical Almond Agroforestry site
Terrafund for AFR100 NGARA-KEFRI Marigat site,Terrafund for AFR100 NGARA-KEFRI Marigat site
Terrafund for AFR100 NGARA-KEFRI Tenges site,Terrafund for AFR100 NGARA-KEFRI Tenges site
RDIS- Bweyeye Site,RDIS- Bweyeye Site
RDIS-Gihombo Site,RDIS-Gihombo Site
RDIS-Kamembe Site,RDIS-Kamembe Site
RDIS-Kanjongo Site,RDIS-Kanjongo Site
RDIS-Kirimbi Site,RDIS-Kirimbi Site
RDIS-Nzahaha Site,RDIS-Nzahaha Site
Bankame/Tropenbos Ghana site,Bankame/Tropenbos Ghana site
Dome River FR/Tropenbos Ghana Site,Dome River FR/Tropenbos Ghana Site
Prakaw Forest Reserve/Tropenbos Ghana Site,Prakaw Forest Reserve/Tropenbos Ghana Site
UESEF KATOLO KALUNGU planting site,UESEF KATOLO KALUNGU planting site
UESEF NGWIRO KITEMBO planting site,UESEF NGWIRO KITEMBO planting site
UNIPROBA-KABURANTWA-KABURANTWA,UNIPROBA-KABURANTWA-KABURANTWA
UNIPROBA-KABURANTWA-NYANKUNGU,UNIPROBA-KABURANTWA-NYANKUNGU
UNIPROBA-NYAMITANGA-NYAMITANGA,UNIPROBA-NYAMITANGA-NYAMITANGA
UNIPROBA-NYAMITANGA-ZINA,UNIPROBA-NYAMITANGA-ZINA
Wezesha Bahati Site,Wezesha Bahati Site
WCI-Giciye river site,WCI-Giciye river site
WCI-Mukungwa river site,WCI-Mukungwa river site
WCI-Nyamutera river site,WCI-Nyamutera river site
WDI-KAGONYI,WDI-KAGONYI
WDI-KARENGANE,WDI-KARENGANE
WDI-NYABWUYA,WDI-NYABWUYA
WDI-RWAMIKO,WDI-RWAMIKO
WWANC - MAU COMPLEX CHEBITET,WWANC - MAU COMPLEX CHEBITET
WWF-Kenya_Kinangop,WWF-Kenya_Kinangop
WWF-Kenya_Kipipiri,WWF-Kenya_Kipipiri
WWF-Kenya_Olkalou,WWF-Kenya_Olkalou
Y&M REGENERATION - Agroforest carbon project Site 1,Y&M REGENERATION - Agroforest carbon project Site 1
Y&M REGENERATION - Agroforest carbon project site 2 Juaso Forest Reserve,Y&M REGENERATION - Agroforest carbon project site 2 Juaso Forest Reserve
