Label,Code
Kukuom Cooperative Cocoa Farmers and Marketing Union Limited,Kukuom Cooperative Cocoa Farmers and Marketing Union Limited
Kula,Kula
Laikipia Wildlife  Forum Limited (LWF),Laikipia Wildlife  Forum Limited (LWF)
Lake Ol'Bolossat Community Conservation Group (LOCCOG),Lake Ol'Bolossat Community Conservation Group (LOCCOG)
Leona Foundation,Leona Foundation
MIHOSO INTERNATIONAL FOUNDATION LBG (MISSION OF HOPE for Society),MIHOSO INTERNATIONAL FOUNDATION LBG (MISSION OF HOPE for Society)
"Moto Feeds
","Moto Feeds
"
Nabahya Food Institute (NFI),Nabahya Food Institute (NFI)
Nature Kenya (The East Africa Natural History Society),Nature Kenya (The East Africa Natural History Society)
Ogiek Peoples Development Program(OPDP),Ogiek Peoples Development Program(OPDP)
"ORCHARD JUICE LIMITED
","ORCHARD JUICE LIMITED
"
Organisation de Défense de l'Environnement et le Développement Durable (ODEB),Organisation de Défense de l'Environnement et le Développement Durable (ODEB)
ORGANIZATION FOR SUPPORT ENVIRONMENT PROTECTION AND CLIMATE CHANGE ADAPTATION (OSEPCCA-NGO),ORGANIZATION FOR SUPPORT ENVIRONMENT PROTECTION AND CLIMATE CHANGE ADAPTATION (OSEPCCA-NGO)
PAN AFRICAN CLIMATE JUSTICE ALLIANCE (PACJA),PAN AFRICAN CLIMATE JUSTICE ALLIANCE (PACJA)
Paran women group,Paran women group
Perfect Village Communities PVC Burundi,Perfect Village Communities PVC Burundi
PLATE FORME DIOBASS AU KIVU,PLATE FORME DIOBASS AU KIVU
Prime Biodiversity Conservation ( PBC),Prime Biodiversity Conservation ( PBC)
RESEAU BURUNDI 2000 Plus,RESEAU BURUNDI 2000 Plus
Resource Conservation Initiative (RESCONI),Resource Conservation Initiative (RESCONI)
Rural Development Initiative (RDI),Rural Development Initiative (RDI)
Rural Environment and Development Organization (REDO),Rural Environment and Development Organization (REDO)
Rwanda Climate Change and Development Network (RCCDN),Rwanda Climate Change and Development Network (RCCDN)
"RWANDA ENVIRONMENTAL CONSERVATION ORGANIZATION, RECOR","RWANDA ENVIRONMENTAL CONSERVATION ORGANIZATION, RECOR"
Rwanda Organic Agriculture Movement (ROAM),Rwanda Organic Agriculture Movement (ROAM)
Rwanda Rural Rehabilitation Initiative (RWARRI),Rwanda Rural Rehabilitation Initiative (RWARRI)
Sakam Savana Limited,Sakam Savana Limited
SAVE KENYA WATER TOWERS,SAVE KENYA WATER TOWERS
Saving and Conservation of Our Planet Earth Intervention (SCOPE INTERVENTION),Saving and Conservation of Our Planet Earth Intervention (SCOPE INTERVENTION)
SEED SAVERS NETWORK ASSOCIATION,SEED SAVERS NETWORK ASSOCIATION
Slow Food Convivia Association of Kenya,Slow Food Convivia Association of Kenya
Solidaridad Eastern and Central Africa Expertise Centre Solidaridad,Solidaridad Eastern and Central Africa Expertise Centre Solidaridad
Sustainable Agroforestry Initiative (SAFI),Sustainable Agroforestry Initiative (SAFI)
"Talmond Ltd.
","Talmond Ltd.
"
The Network for Natural Gums and Resins in Africa - NGARA,The Network for Natural Gums and Resins in Africa - NGARA
The Rural Development Interdiocesan Service (RDIS) with registration No. 13/RGB/NGO/2015,The Rural Development Interdiocesan Service (RDIS) with registration No. 13/RGB/NGO/2015
Tropenbos Ghana Programme,Tropenbos Ghana Programme
UNIS POUR L'EDUCATION SOCIOENVIRONNEMENTALE DE LA FEMME (UESEF),UNIS POUR L'EDUCATION SOCIOENVIRONNEMENTALE DE LA FEMME (UESEF)
Unissons-nous pour la Promotion des Batwa  UNIPROBA,Unissons-nous pour la Promotion des Batwa  UNIPROBA
Wezesha community Based organization,Wezesha community Based organization
Wildlife Conservation Initiative (WCI),Wildlife Conservation Initiative (WCI)
Woman Development Initiative (WDI en sigle),Woman Development Initiative (WDI en sigle)
Women In Water and Natural Resources Conservation (WWANC),Women In Water and Natural Resources Conservation (WWANC)
World Wide Fund for Nature Kenya (WWF-Kenya),World Wide Fund for Nature Kenya (WWF-Kenya)
Y&M REGENERATION LIMITED,Y&M REGENERATION LIMITED
